question,answer
"I have a friend that has had a headache for about a week now. Along with vomiting, dizziness, and at some points forgetting what they are doing. Such as changing a garbage bag and then forgetting what exactly it is they are doing. Should they be concerned?","Hi dear, your friend who is having headache vomiting dizziness and forgetting. But you didn't mention that such symptoms occur episodically or continuous. If such symptoms occur episodically then think for the seizure as in post seizure phenomena such signs and symptoms occur. otherwise think for some brain related pathology. So first go for MRI brain. And first start with simple analgesic and antacid then see for the cause. Such features also occur in migraine. For that Tab amitriptyline 25\u00a0mg HS and also Tab Propranolol 40\u00a0mg sustained release. Also Tristan for SOS pain tenement"
What is the purpose of an X-ray in diagnosing delayed puberty?,"An X-ray is helpful in the diagnosis of delayed puberty. Findings on an X-ray are specific for bone age. Bone age is used to predict the final adult height of children. It is one of the first line evaluations in a patient with suspected delayed puberty.
Studies have shown that there is a strong association between bone age and the puberty onset in boys with developmental disorders.   Skeletal maturation and hypothalamus - pituitary - gonadal axis maturation rates are useful in diagnosing delayed puberty. Delayed puberty is related to the skeletal maturation delay that can be caused by various chronic diseases,  malnutrition,  hypothyroidism,  constitutional delay of growth,  and growth hormone (GH) deficiency.  Bone age is measured by studying X-ray of the left hand and wrist. Greulich and Pyle Atlas may be used to interpret the findings.   If the difference between measured bone age and chronological age is more than 2 years, it is strongly diagnostic of constitutional delay of growth and puberty (CDGP). The metaphysis of the patients with delayed puberty usually takes more time to mature than the normal population. This results in the final adult height slightly more than the final adult height of a normal individual. If the bone age shows the 4 years difference, it may reflect an additional increase of 8 cm in the final adult height of the patient. Final adult height can be calculated through Bayley-Pinneau tables."
"Hi I ve suffered for years with diarrhea, blood and mucus in stools, severe left abdominal pain, vomiting, fatigue, dizziness, and pick up every infection/virus going! I m currently under investigation for Crohn s disease, Ulcerative Colitis and bowel cancer (still undiagnosed after 15years) lately my anus has been very painful, itchy, burning, and now has lots of tiny yellow dots accompanied by red dots like pin pricks. What could it be? I m very worried and in alot of discomfort","HIT hanks for posting your query to Chat Doctor.  It seems like you are having small boils over your Anal region.  You require an Antibiotic therapy (Either Tablets or local Cream) for the treatment of this problem. Also, there is a possibility of having Anal fissure (minor tear near Anus) which requires an Anesthetic jet application.  So I advise you to consult a Surgeon for this and get treated. Also ask for a prescription of Laxatives if your bowels are not soft. Hope you find this information useful. Any clarifications or Queries feel free to ask"
"Hi, I m Evelyn & i have been experiencing a pulse right by my belly button or higher. I ve been stressing out quite a bit or something like that. Can you please tell me what this is? Or if it s normal? In my family heart conditions run but not recently.","Hello Evelyn, The pulsation you are feeling just above your umbilicus (Belly button) is from your abdominal aorta. This is the main blood vessel from the heart which takes the blood to the abdomen and the lower limbs. When you are stressed, you a Chat Doctor.  This is normal. If it is present at times when you are not stressed or the size is increasing then you may do an ultrasound examination of the abdomen to make sure that there is no dilatation of the abdominal aorta. If you have further queries, I am available to answer them."
"Hi I have a mirena fitted 9 months ago, for constant heavy periods. It hadnt made any difference. I had a previous one for 6 years which worked like magic and I was period free for most of those 6 years. Now I have been prescribed northisterone which I have been taking for two months, with a break in between as I am waiting for an ultrasound to check if the mirena is ok, as its not helped as before. The problem us, Ive started cramping and bleeding while taking northisterone! Will it stop? I also have transexamic acid to take, will this help stop the bleeding. I dont want the ultrasound cancelled because of the bleeding and Im sick of this bleeding more than not. Can you advise please? Mandy","Thanks for using ChatDoctorYes tranexamic acid do help to reduce bleeding. Continue to take this medication as your doctors prescription. Though you are bleeding ultrasound can be done, not a problem. As you had responded well in previous IRENA, this time also we expect a good response. Better to rule out other endometrial problems. Consult your gynecologist for further evaluation. Have a good healthRegards"
"Q:A 1-week-old infant that was birthed at home is rushed to the emergency room by his parents. His parents are recent immigrants who do not speak English. Through a translator, the child's parents say that during play with the infant, the infant's body became rigid and his mouth 'locked up'. The child likely suffered from a(n):? 
{'A': 'Infection of a foot ulcer', 'B': 'Infection of the colon', 'C': 'Intrauterine infection', 'D': 'Infection of the umbilical stump', 'E': 'Dental infection'},",D: Infection of the umbilical stump
i have had surgery for carpel tunnel and flexor synovectomy following a wrist injury in may i do not see the consultant till mid jan but do not know what this surgery involved as not had full explanation yet and wondered if you could explain what it may have been as surdeon did not know what he was going to do untill operation commenced. thank you,"Hi I am Chat Doctor. .  Carpal tunnel release operation means that the nerves passing to your fingers mainly the median nerve was irritated or obstructed during its passage to your fingers through the flexor retinaculum at the level of the wrist. The flexor retinaculum is a kind of sheath that surrounds some nerves and structures passing through your wrist region, so this sheath is cut to free your median nerve.  Flexor synovectomy means removal or excision of a peace of the synovial which is a thin layer surrounding your wrist joint that allows flexion. maybe it had a minor fissure or fracture that need to be removed to immobilize your wrist joint.  Hope you feel better after your operation and follow your surgeon instructions, and you may need physiotherapy sessions with a chiropractor to manage your injured joint to fully recover. Please click and consider a 5-star rating with some positive feedback if the information was helpful. Wish you good health, Any further clarifications feel free to ask."
"In patients with diabetes mellitus, what is the primary cause of death?","The leading cause of death in patients with diabetes mellitus is heart attack, also known as myocardial infarction (MI). Diabetes is a risk factor for cardiovascular disease, and individuals with diabetes are at increased risk of developing heart disease and experiencing a heart attack. Other complications of diabetes, such as kidney disease and stroke, can also contribute to mortality. It's important for individuals with diabetes to manage their blood sugar levels and maintain a healthy lifestyle to reduce the risk of these complications."
Which muscle is considered the most important for inspiration?,The diaphragm is the most important muscle for inspiration.
"i have a floating fluid filled swollen eye lid the size of a small pea. i can feel  and move the lump located in corner close to the nose. i applied ice to the area with no change. no pain, no redness. note i have always had a small,moveable lump in that area and now its bigger. what can i do?","Hi, Dear,thanks for the query to my Chat Doctor virtual Clinic. I studied your query in depth.IN My opinion -YOU should see an Ophthalmic Surgeon or a General-Surgeon-and get the Surgical excision of the Champion / Magician Cyst-of the Eye-lid -Diagnosis of this cyst-is -Champion / Magician Cyst of eyelid. Treatment of it is Surgical Excision of the Champion ASAP as it is getting bigger in your case. Hope this would resolve your query. I would love to help you for more queries. Good day."
"I fell off my motocycle one week ago and got road burn on my leg. The burn is only small so I didn t get it check out by a doctor. The burn scabbed over, but the area around it was swollen, red and sore too touch. Four days in, the scab started oozing a yellow liquid when I pressed down on it... But today whilst I was changing its dressing it oozed out a thick, dark orange liquid... I m pretty freaked out as I ve never seen this before... I kind of figured it s infected... But what should I be doing, beside to get it checked out?","Yes it definitely seems infected. It could be cellulitis or in the rarest of conditions gas Gangrene. Get yourself checked out immediately and make sure the doctor takes swabs of the pus and sends it for microscopy and culture to know what bacteria it is. After that the doctor should give you antibiotics.Also, a referral to surgeon may be required to make sure debridement is not required. If pain is what you are concerned about take ibuprofen 800\u00a0mg with 40 mg pantoprazole for that. But I reiterate please get it checked"
I have a pea size lump that moves around near my elbow. The lump doesnt give me pain but if I put any pressure on my elbow it hurts a lot. The pain in the elbow is getting worse over the last couple of days. I only notice this issue they last two weeks.,"Hi, The lump near your elbow appears to be boiled/ fur uncle / or infective origin, which resolves on its own in 2 weeks time. I would advise following treatment under cover of your PCP doctor-Antibiotics /Anti-inflammatory Chat Doctor. Cold compresses x 2-3 days time. Hope this would resolve your query. Welcome for any further query in this regard to Chat Doctor. Write good review and hit thanks if this reply is helpful to you. Have a Good Day."
my husband is 51 yrs old he has been an air conditioning tec for 30 yrs he has been prone to broncitis and now has a breathing problem when he eats sleeps and looses his voice after doing an attic job we do not know if this is sinus or lung for months he had a terrible mucas problem always had a cough but ut has gotten worse,Hi welcome to Chat Doctor... Here your father is suffering from chronic obstructive pulmonary disease ... So for that pulmonary function test by spirometry needs to be done .... It will diagnose case as well as detect severity which guides in treatment. You might need bronchodilator therapy ... Your voice getting affected. So larynx has to be examined by indirect laryngoscopy examination.... If growth seen biopsy taken. If seems inflamed short course steroid and antibiotic given.... Avoid smoking and excess dust exposure. Consult pulmonologist with keeping this in mind. Take care ...
I had a miniscus repair. I understrand that the surgeon cleaned up the tear. He removed torn fragements of meniscus. He told me that I have arthritis on my knee. he said that eventually I will reqquire a total knee replacement. I am experienceing more pain now than before the surgery.,"Hi, As mentioned in history about meniscus surgery, it such that the part of broken meniscus is removed and now the muscles of the knee aren't stable to hold the knee joint in place and maintain the required space between the femur and the tibia. It is not a conditional that people who undergo meniscus or any other ligament surgery of knee lands up in the OA knee. I have seen cases with Meniscus or ACL surgeries and all are doing perfectly well. None of them are having any signs of aging.  I made a continuous follow-up for the last 12 years and none have issues. The only thing they ask is - long to do exercise? Well I only advice them to keep doing as much as they can. N no signs of any pains in the knee or any adjacent joints. Coming back to your case. The pain in the knee is due to the lack of strength in the muscles of the knee. Which needs a definite attention. I would advise you to start taking sessions under a competitive physiotherapist so that the required strength is achieved.  Also, I will recommend you to do reverse walking to strengthen the qua Chat Doctor.  Rest you can try out with Pilates, balance board training and resistance band training. I am sure you can do well and may not need TKR. As you must have heard that most sports person gets ligament injuries. How many of then have undergone knee replacement. I think the ratio is too low because they take the best training, so I do provide my clients the best service so future complications don't arise. Hope you will take this in the positive way and make a good call for the best rehabilitation. Anything and everything is possible, we just need some determination. Hope I have answered your query. Let me know if I can assist you further. Jay In"
"A month or so my right calf kind of hardened and strain behind back of knee, like a pulling,what is it? I have been putting a water and aspirin solution and sometimes muscle ointment.helps back kind of sticking around. It seems like it wants to get bette, what s wrong? Thank you Ronnie","Hello, As the history is too brief to comment with the diagnosis but still what I suspect it to be ligament injury in the knee leading to calf muscle spasm and over contracted in a way it appears harder. I will advise for a knee MRI. As this is really going to play a key role to understand the knee soft tissue position. Use knee brace, do hot water fermentation for the knee and also the calf muscles. Post this does strengthening exercises for the knee muscles and the leg muscles. Also, try doing balance board training which has found to be very effective in the majority of the cases. Hope I have answered your query. Let me know if I can assist you further. Jay In Chat Doctor."
What is the increased risk for maternal development of disease in patients with pemphigoid gestationis?,Patients with pemphigoid gestationis have an increased risk of maternal development of Graves disease.
What imaging findings are associated with dysplastic nevi?,"Dynamic contrast-enhanced MRI (DCE-MRI), positron emission tomography (PET) scan, and Integrated 18 F-FDG PET/CT can be used during the diagnostic process of melanoma. DCE-MRI has the potential to be an in vivo imaging technique that can predict and isolate the patient group prone to metastatic disease. Integrated 18 F-FDG PET/CT is useful in disease staging, therapy assessment, and determining prognosis. Positron emission tomography (PET) scan can help in diagnosing metastatic lesions."
i am 19 years old man. i have my problem early from my 15s. Now it is severe to me. i decided to go for a surgery. My problem is that i face severe pain when the stool discharges from my body. Some times it also bleeding. But bleeding is not regular to me as it last happens with me at 8 months before. Local doctor suggested that i have a polype growth & mucasse formed there inside the passage of stool. I need suggession.,"Hi. You already know the detailed diagnosis, which surely must have been told to you by a proper qualified person (a doctor)! Here goes my assessment and suggestion"
I have been described Flucloxacillin as I found a lump on my right breast beside my nipple which was quite worrying. I am 20 years old 5 ft 7 and a healthy female. My doctor said it can be trapped fluid or trapped milk. I had a baby girl 18 months ago but dont think its that. Very worried. Anyway the antibiotics are making me feel sick dizzy and faint. Can someone help me what this is? Thanks,"Welcome to Chat Doctor .1. Yes, your doctor said is true, generally seen after lactation.2. But before you take any medication, I would suggest an ultrasound breast get done to confirm that the lumps are the dilated ducts.3. The ultrasound will evaluate the consistence of the lump (ductal dilatation/cystic/solid)4. Also seen in the hormonal changes.5.first get it evaluated and can be treated accordingly. Anything to ask ? Do not hesitate. Thank you."
What are the two causes of viral gastroenteritis that are commonly associated with daycares and kindergartens?,Rotavirus and norovirus are the two causes of viral gastroenteritis that are commonly associated with daycares and kindergartens.
"Hi, my husband had a tooth filling on day before yesterday. He had severe pain during the filling as well as after filling for some time. Then the pain started to reduce. but yesterday he started to have fever slightly. Today no fever, but swelling is there. We are going to our dentist this afternoon - in another 5 to 6 hrs. Please let me know if that is ok.","Thanks for your query, I have gone through your query. The pain and swelling could be because of the tooth infection. Consult an oral physician and get a radiograph done to rule out the tooth infection. If there is infection in the root tip the tooth has to be treated with RCT or extraction. Before that you can take a course of antibiotics like amoxicillin 500\u00a0mg and metronidazole 400\u00a0mg TID for 5 days (if you are not allergic). I hope my answer will help you, take care."
HI I AM 26 YEAR OLD HEIGHT IS 5 FEET 2 INCH 80 KG MY SEMEN REPORT IS BELOWTOTAL QUANTATY      2mlCOLOR                     OFF WHITEVISCOSITY                THINPH                            8.0RED CELL                 NILLPUSS CELL                6-8ACTIVE SPERMATOZA   30%SLUGGISH                    20%NONMOTILE                   50%TOTAL SPERUM  COUNT        30/MILLION/ML (NORMAL 60-150),"Hello, Your active motile sperm is 30% which should be at least 32%. So it is a borderline value. All other finding including count, viscosity, pH are normal. However, sperm morphology is not mentioned here which is also important to know.  So kindly mention sperm morphology report as well. You can take a zinc tablet to increase sperm motility. Forte is one of such tablet which contains zinc as well l arginine.  Don't take a hot shower. Don't do smoking and Chat Doctor.  Hope I have answered your query. Let me know if I can assist you further. Take care"
What information is available regarding central pontine myelinolysis?,Central pontine myelinolysis is brain cell dysfunction caused by the destruction of the layer (myelin sheath) covering nerve cells in the brainstem (specifically the pons).
What factor regulates glycogen phosphorylase via positive feedback in muscle?,Glycogen phosphorylase is regulated via positive feedback by AMP in muscle.
well i have been having pain it started on my back shoulder blade on the left side.well this morning it has came around the front of my chest and down my left arm i have weakness and pressure in my chest on the top part of my chest it even hurts when i breath deep,"Thanks for your question on Chat Doctor. In my opinion you should consult cardiologist and rule out cardiac cause first.You're all symptoms like chest pressure, tightness, left sided shoulder and chest pain and arm pain, are suggestive of cardiac cause. So get done1. ECG2. 2D Echoed if something comes positiver than go for coronary angiography to rule out coronary obstruction. So better to consult cardiologist and discuss all these."
"Q:A 58-year-old woman presents with a 2-week history of fever, fatigue, generalized weakness, and bleeding gums. Past medical history is significant for type 2 diabetes mellitus, managed with metformin. The patient is afebrile, and her vitals are within normal limits. On physical examination, she has bilateral cervical lymphadenopathy and hepatosplenomegaly. A complete blood count and peripheral blood smear reveal normocytic anemia and leukocytosis. A bone marrow biopsy is performed, which shows > 20 % myeloperoxidase positive myeloblasts with splinter-shaped structures in the cytosol. The patient is started on a vitamin A derivative. Which of the following chromosomal translocations is most likely responsible for this patient’s condition?? 
{'A': 't(9;22)', 'B': 't(14;18)', 'C': 't(15;17)', 'D': 't(11;14)', 'E': 't(8;14)'},",C: t(15;17)
"Hi I recently had  a MRI done on my foot, due to a fracture I had last year, but I am still having pain.   The MRI results came back with the following","Hi, Thanks for contacting. Do hot and cold therapy (take one bucket of Luke warm water and one bucket of cold water, dip your leg first in hot water for 3 mins, then in cold water for one min) do it 7-10 times, apply cr\u00eape bandage, do less walking and keep your legs elevated while lying down. Don't wear tight shoes. Avoid heel shoes and before going to sleep do light massage from toes to ankle. And do ankle movements and toes movements twice daily. Hope you will find the answer useful. Let me know if I can assist you further."
"Prior to performing surgery on a patient with cardiac complications, which three tests should be performed?","The three tests that should be performed prior to surgery on a patient with cardiac complications are an ECG, an echocardiogram, and a cardiac catheterization."
hi everyone im john im 14 years old and i hurt my tailbone a few months ago. When i hurt it it didnt hurn when i sat down but it look popped out a little not a lot just a little. I love to wreslte and i was wondering what is my injury and how long will it take to heal thank you very much,Hi John... Your tailbone pain will be reduced in 2-3 weeks if you take proper care. I recommend you to. Do a lot of icing in your painful area. As frequently as possible...once in every 2 hours...for 15 mins.... Gentle massage over butt muscles... no massage over painful area... Gentle stretching if butt muscles...Dont the best weight over the painful area... U can use a Tyre like structure Tobit so that you Don't bear weight on the painful area... Can apply any Anti-inflammatory gel prescribed to you earlier.... Hope this is helpful for you... Kindly revert in case you need any more help in this regard....
Went to doctor care for lump behind ear ordered us to see ent. ent said it was lump was nothing but ordered mri and found hearing loss 1 year later diagnosed excessive bone loss in mouth need three root canels feel i was mis diagnosed???Have the mri would that show infection and bone loss?,"Hi Dear, Welcome to Chat Doctor. Understanding your concern. As per your query you have lump inside your ear. Well there can be many reasons for lump in ear like infection also known as Otis external, cyst, swollen lymph node or hematoma from minor injury. Need not worry. It could be due to sever infection in tooth as well which is leading to facial space infection. I would suggest you to consult ENT specialist. Doctor will examine with horoscope and order test like CT scan, MRI or x-ray to confirm diagnosis and rule out other causes. Doctor may prescribe antibiotics (amoxicillin) for at least 10 days, remove with the help of suction device or remove it surgically. For now keep your ear Chat Doctor."
"Hi, I was travelling a lot from Wed thru Sat with less hours of sleep and it included a 5km trek uphill and down to a pilgrimage. I was not feeling well on sunday and consulted a local physician who checked my BP. BP was on the higher side - 153/103 at 8","Hi hard, you are young to have hypertension, however with our changed lifestyle and the stress of professional life I am increasing seeing patients in your age to have hypertension.  Considering this as newly detected BP, from today itself you should start on lifestyle modifications like cutting salt in your diet to less than 3 gas, bringing regularity in life and exercise, at least 45 mins 5 times a week.  Keep on tracking the pressures at different time on different days.  See what is the trend.  At the same time get yourself evaluated for secondary causes of increased BP and if founded treat the cause.  If this doesn't help a single antihypertensive in small dose should do the trick which at later stage we can gradually decrease and wean off if possible.  Regards"
"I got the Nexplanon implant in April 2013 and recently I ve been having a lot of pregnancy symptoms. Fatigue, cramps/feeling full and nausea off and on throughout the day. I haven t had a period since it was inserted, but I was on some antibiotics about a month ago. Home pregnancy test was negative, but I can t shake the feeling that it s wrong. Is there any possibility that it was wrong?","Hello, and I hope I can help you today. Explain, as long as it is not expired (which occurs after 3 years) has never been shown to have a pregnancy failure. Therefore, as long as your device has not been in longer than 3 years, you should be completely protected against pregnancy, even if you are having regular unprotected sex.  In addition, antibiotics (except certain kinds that are very strong given by IV) have never been shown to actually increase risk of pregnancy while taking birth control-the interaction is theoretical only.  Furthermore, the side effects that most people attributed to pregnancy like nausea, bloating, breast tenderness, and mood changes are also common side effects of any progesterone only contraceptive. The reason for this is that the hormone in Explain is very similar to the hormone that is produced by a normal pregnancy. In addition, many women do not menstruate on Explain, which is normal. So you really do not have to worry that you are actually pregnant with the Explain based on your symptoms and with a negative pregnancy test.  If you are having side effects you find unpleasant, you may want to discuss changing to an alternative birth control method with your healthcare provider. I hope I was able to adequately answer your question today and that my advice was helpful. Best wishes,"
hi iam a female of 26yrs. my weight is 66kilograms my hight is 1.68m. i am asthmatic. i have backache sometimes in the upper part and often lower and i hear a crack in my neck when i try to elevat my head up .  can you please give me a simple home managment. thanks,"Hello, I had gone through the case and found that it might be case of spondylosis. So take calcium once a day and Vitamin D3 once a week. Do neck and back exercise. Avoid long time sitting work, pillow and soft mattress. When pain is severe then take mild painkiller and apply muscle relaxant gel. If possible then go for spine MRI and Vitamin D3 blood test So that you can get the diagnosis. Hope my answer will be effective for you. Thanks"
"Hi what is treatment of betching stoppage in the throat,severe stomach acidity and intestine n stomach pain? My mom has dis severe problem n medicines r not affecting good in sense. Plz guide. She cant eat anything except porridge.age 52years.all is bcoz of stress.plz reply....",Hi. Thanks for your query and an elucidated history. Since you have already written about one of the most common causes of such problems as stress; the ultimate treatment will depend upon the combination of prescription based medicines
When to seek urgent medical care when I have Hyperkalemia ?,"Go to the emergency room or call the local emergency number (such as 911) if you have symptoms of hyperkalemia. Emergency symptoms include:
Absent or weak heartbeat Changes in breathing pattern Loss of consciousness Nausea Weakness"
What type of anemia can patients taking hydroxyurea develop?,Patients taking hydroxyurea can develop a megaloblastic anemia.
"Hi my 7year son has been complaining of a sore back when I looked this evening at the bottom of his spine there is a small lump which is red and very sore 2 touch, he has had 2 operations in the past 4 weeks on his eyes (don t think this has anything 2 do with it but just incase his last operation was only on Monday) he hasn t banged it as still recovering from his operation. What else can it be?","HI, Welcome with your query to Chat Doctor. Based on the facts of your query, after its review, In my opinion you seem to have Bed sore from neglected pressure -bruise, as he underwent 2 eye surgeries in last 4 weeks time. You need to consult the GP/Surgeon doctor and start its treatment soon. Hope this reply resolves your worry with your queries. Will appreciate writing your feedback review comments, to help the needy patients like you at Chat Doctor. Good Day!! Chat Doctor. S. Genl-CVTS"
I have a pain in my lower abdomen.  It is not there constantly but there mostly when I poop.  I also have a cold/cough and it hurts when I cough.  I dont believe I am constipated because I pass a good stool daily if not twice a day.  It feels like the pain is in my intestines not my anus.,"HI. This is colitis, meaning inflammation and/ or infection of the large bowel which gives this type of pain which you have. You get a pain at pooh as the large bowel is contracted for the stool to come out so the pain only at passing motion. You may need an antibiotic, metronidazole and other supportive medicines. Please visit a Doctor who would do a clinical examination, and you need a prescription too."
"My finace was seen at the ER about a month and half ago for throwing up blood and having it come out the other end also, He was also having serious chest pains. They did a number of tests, including blood work, EKG, and Xray s and the only thing they came up with was a possible mild stroke and told him to take baby asprin. As of today he is still experincing the chest pains and he has been brusing from the inside out everytime the chest pains are serious. Can anybody give me an idea of what might bw wrong? Please.","Thanks for your question on Chat Doctor. I can understand your concern. By your history and description, possibility of gastritis due to gastric ulcer is more in your fianc\u00e9 s case. Acute gastritis, gastric ulcer can cause chest pain and hematemesis (blood in vomiting). So better to consult gastroenterologist and get done upper GI copy for the diagnosis of this. He should avoid stress and tension. Ask him to avoid hot and spicy food, large meals. Ask him to take proton pump inhibitors and prokinetic Chat Doctor.  Don't give aspirin, this will worsen chest pain and hematemesis. Don't worry, he will be alright. Hope I have solved your query. I will be happy to help you further. Wishing good health to your fianc\u00e9. Thanks."
"What medication is commonly used to treat local histoplasmosis, blastomycosis, and coccidioidomycosis infections?","Itraconazole is a medication commonly used to treat local histoplasmosis, blastomycosis, and coccidioidomycosis infections. These are fungal infections that can affect the lungs and other parts of the body, and can cause a range of symptoms from mild to severe. Itraconazole is an antifungal medication that works by inhibiting the growth and reproduction of the fungus, and is typically taken orally in capsule form. The duration and dosage of treatment will depend on the specific type and severity of the infection, as well as individual patient factors. Other medications or treatments may also be necessary in some cases, such as corticosteroids or surgery. It is important to seek prompt medical attention if you suspect you may have a fungal infection, as early diagnosis and treatment can help to prevent complications and improve outcomes."
"Iam currently working in Saudi Arabia.I am using Tegrital CR4001 1/2 two times am&pm,Zincovita vitamin tablets morning&Frisum(colbazam)10mg tablets11/2evening only.But in Saudi I am not able to carry the frisum tabs &colonazepam1mg tablet for equlent frisum. In this sitation which medicine i can use here in Saudi.Please give me a replay.Thankyoujp",His understand your concern. Usually if you are taking it for seizure or convulsion then need to continue it because it has good control. But if it is given as anxiolytic as clonazepam 1 mg or diazepam 5 mg or lorazepam 2 mg are good substitute for cloacae. So need proper diagnoses to give proper advise. I hope I have answered your query. Still have a query then feel free to ask. Thank you. Wish you a good health
Treated for Dermatomyositis and am in remission since 2010 Previously misdiagnosed by 9 doctors in area w/Lupus. I contracted respiratory/sinus infection April 8 & have not been able to breath since. All docs here & ER visit not helped. X-ray & ct clear. Apt in Oct at Johns Hopkins who treated in 08-2010. Do not know where to turn re breathing difficulty Tks Doreen,"Thanks for your question on Chat Doctor. I can understand your situation and problem. Dermatomyositis can cause pulmonary hypertension (PHT) as a complication. In pulmonary hypertension, patient can get cough, breathing difficulty etc. Chest x-ray and CT are normal in this.PHT can cause restrictive lung defect, which aggravate breathing difficulty. So consult cardiologist and get done 2d echo to rule out PHT. Consult pulmonologist and get done PFT (pulmonary function test) to rule out restrictive lung defect."
"Hi, I am a 20 year old healthy male that has all 4 wisdom teeth and I had two root canals on my lower 28. Unfortunately I will have to extract the lower 28 after all the work ive done on it. I hate the fact that i will have to walk around with a titanium rod in my mouth for 4-6 months. I was wondering if it is possible that I Remove 3 wisdom teeth along with the lower 28, then got braces to move over my other teeth and make room for my wisdom tooth (on the lower right not coming in compacted) to come in and act as a molar. If this is possible I would rather do this than have a false tooth in my jaw. I ask online because I dont want any bias from my dentist or the surgeon.","Hello, thank you for consulting with Chat Doctor. Yes it is possible to get extracted all wisdom tooth, but it should not be done on the same appointment. But if the dentist is mentioning that 28 needs to be extracted then there must be some infection left in the apical region of tooth which will create problem in the future. Better you should go with the dentist as he must have diagnosed all the conditions. Hope it will help you."
What are the potential symptoms of acute interstitial nephritis that may occur days to weeks after starting a drug?,"Acute interstitial nephritis may present with fever and rash, days to weeks after starting a drug."
About four months back I hit my head and got a slight concussion. About two months ago I started noticing a small lump where I hit my head. The lump grew a bit bigger and a few more appeared as well. I ve been getting migraines a lot and I never got them much before. The lumps don t cause pain but when I touch them I can definitly feel a lot of pressure and they are pretty hard. Any suggestions?,"Hi, Welcome to Chat Doctor. Based on the facts you seem to suffer from Inclusion Desmond with fibrosis Hematoma at the hit site in the head. Or could be sebaceous cysts with acne, or could be drums lipomatous. These need to be ruled out. Remedy-USG and CT study of the skull would resolve the ambiguity in diagnosis. Consult Physician to investigate cause of Migraine. Avoid spicy/non-veg food / avoid alcohol, smoking,tobacco, if any. Hope this would resolve your anxiety and would help you to plan further treatment with your doctors. Will appreciate your Hitting thanks and writing excellent review comments to help needy patients like you. Good Day!! Chat Doctor. S. Genl-CVTS"
"Hi. I had pneumonia in both lungs this winter. Severe case. Both types. My oxygen level was 81 when I went to the hospital. 80% of my lungs were filled with fluid. I spent 4 days in the hospital and about two weeks in bed. Took me about a month and a half to recover to about 80% It s been five months now and I feel like I m digressing. I m short of breath, have been getting dizzy, my oxygen level is bouncing between 93 and 95 right now. I feel like I can t get enough oxygen. I m tired all the time and have no energy. I m freaking out that it could be cancer. Is that a valid concern? My wife says all my sympoms match anemia. That seems too simple. I was also coughing a lot yesterday, and today have had a sore throat and headache all day. What could be wrong with me?","Thanks for asking your question firstly directly thinking about cancer is not a valid thought there are many diseases first which gives these symptom sin my patients of similar history and condition I would rule out causes like- pneumonitis- upper resp tract infection-lower resp tract infection- tuberculosis-post infective obstructive airway disease certain investigations which i ll carry out are chest X-ray, sputum AFB smear, sputum for myogenic culture, spirometrythese ll rule out the causes and help me to get to a diagnosisdont panic, consult a pilmonologistthanksfeel free to ask more questions"
"Hi, Im a 19 year old Female, and Ive been having really bad pains in  abdominal area, and inside pains that switch from side to side, Ive been having sharp pains in the Vagina. And occasionally, discharging. I havent went to the doctor for it yet just wanna explore my opinions.",Hi. The pains which shift from side to side are usually due to irritable bowel syn Chat Doctor.  Many girls of your age suffer from this as also the pains in the vagina and discharge. There is no specific because that can be allotted to this. A good food habit meaning avoiding all foods and beverages known to increase pains should be avoided. You may once consult the Gynecologist to rule out any other problem with vagina. Such problems are known to get solved with time. Try to have a stress-free life-this helps.
"Q:Following passage of a calcium oxalate stone, a 55-year-old male visits his physician to learn about nephrolithiasis prevention. Which of the following changes affecting urine composition within the bladder are most likely to protect against crystal precipitation?? 
{'A': 'Increased calcium, increased citrate, increased oxalate, increased free water clearance', 'B': 'Decreased calcium, increased citrate, increased oxalate, increased free water clearance', 'C': 'Decreased calcium, decreased citrate, increased oxalate, increased free water clearance', 'D': 'Decreased calcium, increased citrate, decreased oxalate, increased free water clearance', 'E': 'Decreased calcium, increased citrate, increased oxalate, decreased free water clearance'},","D: Decreased calcium, increased citrate, decreased oxalate, increased free water clearance"
"what is a hematoma and how long do they last, I fell 3 weeks ago getting out of the bath tub on the tile and hit my head above my right eye brow and have a huge hard bump, was very black and blue but that is all gone except for the bump, they did take xrays and nothing was broken they said i had a hematoma how long do they last?.","Hi, thank you for providing the brief history of you. As you had a fall due to which there will be internal bleeding leading to the formation of hematoma. By the grace of God everything is well and I'm happy with that. This hematoma will take the couple of days to go and kindly keep patience as body will excrete the unnecessary particles out soon. As the body healing takes time and excreting the particle waste takes its own time kindly keep patience and do gentle massage near the hematoma. Everything will be fine soon. RegardsJay In Chat Doctor."
